Date,Ticker,Open,High,Low,Close,Adj Close,Volume,MarketCap,PE_Ratio,EPS,DividendYield,Sector,Industry,52W_High,52W_Low,Beta,InstitutionOwnership,FloatShares
01-01-2022 00:00,TCS,1373.44,1393.56,1318.44,1345.49,1349.27,4739158,56673619247,34.22,54.72,4.74,Technology,IT Services,1485.96,1188.98,0.65,73.93,137887792
02-01-2022 00:00,TCS,3332.43,3349.24,3294.97,3301.07,3301.65,3893730,113426000000,50.72,153.92,0.34,Technology,IT Services,3397.67,3165.33,0.81,87.62,432027648
03-01-2022 00:00,TCS,2588.78,2620.07,2586.77,2616.74,2621.34,4171650,18540306435,35.25,177.12,2.54,Technology,IT Services,2670.72,2389.26,0.98,56,241475542
04-01-2022 00:00,TCS,2135.44,2148.85,2094.13,2120.45,2115.94,4454489,83319439193,67.69,45.08,1.64,Technology,IT Services,2159.95,2008.5,1.26,53.16,33050620
05-01-2022 00:00,TCS,630.46,644.27,574.56,586.24,582.22,2058615,150282000000,45.96,93.25,2.54,Technology,IT Services,711.45,501.5,1.16,72.88,399449428
06-01-2022 00:00,TCS,630.38,703.23,614.13,677.29,672.73,1078534,138987000000,58.45,94.59,0.12,Technology,IT Services,855.52,485.49,0.81,81.62,358945173
07-01-2022 00:00,TCS,297.48,352.26,268.44,335.86,332.71,4568262,198138000000,16.56,174.84,1.57,Technology,IT Services,513.15,101.57,1.05,87.49,242766476
08-01-2022 00:00,TCS,3045,3099.19,3043,3087.78,3088.19,2469320,56300334072,33.84,152.8,4.1,Technology,IT Services,3147.66,2855.01,1.43,42.72,286195646
09-01-2022 00:00,TCS,2143.79,2222.58,2124.34,2193.28,2194.74,3964376,100140000000,30.21,103.1,2.77,Technology,IT Services,2414.8,1961.75,1.33,75.91,280574173
10-01-2022 00:00,TCS,2507.45,2510.77,2472.62,2474.84,2470.3,995668,66576552341,44.17,134.48,2.25,Technology,IT Services,2616.23,2381.55,0.89,34.75,125870503
11-01-2022 00:00,TCS,169.99,182.67,148.35,159.61,164.07,2779276,88680019698,61.67,169.62,1.43,Technology,IT Services,366.9,17.72,1.48,58.19,468049597
12-01-2022 00:00,TCS,3397.69,3424.77,3373.58,3423.51,3426.93,1418155,171533000000,14.7,2.9,1.49,Technology,IT Services,3569.06,3200.88,1.24,32.59,319898988
13-01-2022 00:00,TCS,2930.3,2972.1,2917.3,2949.9,2947.87,1084588,137158000000,14.35,81.18,1.92,Technology,IT Services,3119.36,2814.08,0.66,44.32,345245807
14-01-2022 00:00,TCS,821.95,849.49,757.42,787.34,783.11,4549399,176606000000,61.02,181.54,4.18,Technology,IT Services,875.65,706.25,0.63,85.2,3570508
15-01-2022 00:00,TCS,718.2,758.18,701.43,749.78,746.48,4102761,41498710558,22.77,148.32,4.84,Technology,IT Services,809.98,659.18,0.75,30.23,209187121
16-01-2022 00:00,TCS,723.58,749.33,686.39,696.02,692.29,581632,174799000000,50.13,109.03,2.19,Technology,IT Services,761,676.36,1.26,64.27,431544450
17-01-2022 00:00,TCS,1134.42,1143.19,1100.2,1106.8,1103.03,1409752,12892692562,42.57,106.4,1.97,Technology,IT Services,1289.25,953.73,0.77,61.51,146378956
